timestamp_utc,model,status,prompt_chars,prompt_tokens,completion_tokens,total_tokens,latency_ms,response_chars,estimated_cost_usd,error
2026-07-12T17:23:50Z,gpt-4.1-mini-2025-04-14,ok,2043,585,76,661,1242.49,390,0.0003556,
2026-07-12T17:23:50Z,gpt-4.1-mini-2025-04-14,ok,1790,517,155,672,2303.08,576,0.0004548,
2026-07-12T17:23:50Z,gpt-4.1-mini-2025-04-14,ok,1458,547,86,633,1253.34,349,0.0003564,
2026-07-12T17:23:50Z,gpt-4.1-mini-2025-04-14,ok,2779,832,125,957,1544.51,491,0.0005328,
2026-07-12T17:23:50Z,gpt-4.1-mini-2025-04-14,ok,1831,623,109,732,1672.52,432,0.0004236,
2026-07-12T17:23:51Z,gpt-4.1-mini-2025-04-14,ok,1851,743,131,874,1806.05,558,0.0005068,
2026-07-12T17:23:51Z,gpt-4.1-mini-2025-04-14,ok_infer,1259,256,62,318,992.61,386,0.0002016,
2026-07-12T17:23:51Z,gpt-4.1-mini-2025-04-14,ok,2612,746,118,864,2740.01,466,0.0004872,
2026-07-12T17:23:51Z,gpt-4.1-mini-2025-04-14,ok,1936,744,99,843,1554.73,372,0.000456,
2026-07-12T17:23:51Z,gpt-4.1-mini-2025-04-14,ok_infer,1259,377,109,486,1351.35,494,0.0003252,
2026-07-12T17:23:51Z,gpt-4.1-mini-2025-04-14,ok,3477,953,94,1047,1416.09,447,0.0005316,
2026-07-12T17:23:51Z,gpt-4.1-mini-2025-04-14,ok,1944,738,128,866,1738.17,541,0.0005,
2026-07-12T17:23:52Z,gpt-4.1-mini-2025-04-14,ok_infer,1259,317,86,403,1576.72,417,0.0002644,
2026-07-12T17:23:52Z,gpt-4.1-mini-2025-04-14,ok_infer,1285,339,118,457,1973.59,559,0.0003244,
2026-07-12T17:23:52Z,gpt-4.1-mini-2025-04-14,ok_infer,1280,296,100,396,1530.27,442,0.0002784,
2026-07-12T17:23:52Z,gpt-4.1-mini-2025-04-14,ok_infer,1259,297,61,358,1211.16,273,0.0002164,
2026-07-12T17:23:52Z,gpt-4.1-mini-2025-04-14,ok_infer,1259,287,66,353,1013.65,305,0.0002204,
2026-07-12T17:23:52Z,gpt-4.1-mini-2025-04-14,ok_infer,1280,300,96,396,1496.73,439,0.0002736,
2026-07-12T17:23:52Z,gpt-4.1-mini-2025-04-14,ok,2283,770,150,920,2516.68,605,0.000548,
2026-07-12T17:23:53Z,gpt-4.1-mini-2025-04-14,ok_infer,1259,290,72,362,1246.72,342,0.0002312,
2026-07-12T17:23:53Z,gpt-4.1-mini-2025-04-14,ok_infer,1259,333,118,451,2244.13,480,0.000322,
2026-07-12T17:23:53Z,gpt-4.1-mini-2025-04-14,ok_infer,1259,391,95,486,1623.87,513,0.0003084,
2026-07-12T17:23:53Z,gpt-4.1-mini-2025-04-14,ok_infer,1259,293,82,375,2242.34,401,0.0002484,
2026-07-12T17:23:53Z,gpt-4.1-mini-2025-04-14,ok,1429,536,77,613,1861.78,360,0.0003376,
2026-07-12T17:23:54Z,gpt-4.1-mini-2025-04-14,ok,1151,419,91,510,1366.75,382,0.0003132,
2026-07-12T17:23:54Z,gpt-4.1-mini-2025-04-14,ok,1507,572,116,688,1506.35,415,0.0004144,
2026-07-12T17:23:54Z,gpt-4.1-mini-2025-04-14,ok,1561,562,98,660,1619.96,426,0.0003816,
2026-07-12T17:23:54Z,gpt-4.1-mini-2025-04-14,ok,1851,759,102,861,2142.36,373,0.0004668,
2026-07-12T17:23:54Z,gpt-4.1-mini-2025-04-14,ok,1522,576,92,668,1730.18,370,0.0003776,
2026-07-12T17:23:54Z,gpt-4.1-mini-2025-04-14,ok,1851,759,112,871,2149.21,441,0.0004828,
2026-07-12T17:23:55Z,gpt-4.1-mini-2025-04-14,ok,1618,583,94,677,1436.43,409,0.0003836,
2026-07-12T17:23:55Z,gpt-4.1-mini-2025-04-14,ok,1467,569,109,678,1664.31,485,0.000402,
2026-07-12T17:23:55Z,gpt-4.1-mini-2025-04-14,ok,1616,600,77,677,1481.8,305,0.0003632,
2026-07-12T17:23:55Z,gpt-4.1-mini-2025-04-14,ok,975,314,63,377,1101.29,283,0.0002264,
2026-07-12T17:23:56Z,gpt-4.1-mini-2025-04-14,ok_infer,1259,338,156,494,2244.85,552,0.0003848,
2026-07-12T17:23:56Z,gpt-4.1-mini-2025-04-14,ok,3306,989,78,1067,1319.19,282,0.0005204,
2026-07-12T17:23:56Z,gpt-4.1-mini-2025-04-14,ok,2136,738,110,848,1930.66,489,0.0004712,
2026-07-12T17:23:56Z,gpt-4.1-mini-2025-04-14,ok,1871,744,94,838,1446.69,363,0.000448,
2026-07-12T17:23:56Z,gpt-4.1-mini-2025-04-14,ok_infer,1259,317,127,444,1791.45,411,0.00033,
2026-07-12T17:23:57Z,gpt-4.1-mini-2025-04-14,ok,1528,540,82,622,1372.52,357,0.0003472,
2026-07-12T17:23:57Z,gpt-4.1-mini-2025-04-14,ok,1960,744,108,852,1631.11,374,0.0004704,
2026-07-12T17:23:57Z,gpt-4.1-mini-2025-04-14,ok,2944,914,98,1012,1509.66,397,0.0005224,
2026-07-12T17:23:57Z,gpt-4.1-mini-2025-04-14,ok,1850,770,134,904,2075.34,528,0.0005224,
2026-07-12T17:23:57Z,gpt-4.1-mini-2025-04-14,ok,1501,559,104,663,3693.73,455,0.00039,
2026-07-12T17:23:58Z,gpt-4.1-mini-2025-04-14,ok_infer,1291,364,132,496,1901.27,500,0.0003568,
2026-07-12T17:23:58Z,gpt-4.1-mini-2025-04-14,ok_infer,1291,380,103,483,1894.5,442,0.0003168,
2026-07-12T17:23:58Z,gpt-4.1-mini-2025-04-14,ok_infer,1291,364,127,491,1850.78,514,0.0003488,
2026-07-12T17:23:58Z,gpt-4.1-mini-2025-04-14,ok_infer,1259,340,148,488,2263.52,619,0.0003728,
2026-07-12T17:23:58Z,gpt-4.1-mini-2025-04-14,ok,1857,756,144,900,1814.95,602,0.0005328,
2026-07-12T17:23:58Z,gpt-4.1-mini-2025-04-14,ok_infer,1259,330,93,423,1553.54,438,0.0002808,
2026-07-12T17:23:58Z,gpt-4.1-mini-2025-04-14,ok,1874,776,100,876,1382.06,417,0.0004704,
2026-07-12T17:23:58Z,gpt-4.1-mini-2025-04-14,ok,1785,721,112,833,1795.62,467,0.0004676,
2026-07-12T17:23:59Z,gpt-4.1-mini-2025-04-14,ok,1923,771,105,876,1472.78,432,0.0004764,
2026-07-12T17:23:59Z,gpt-4.1-mini-2025-04-14,ok,4019,793,63,856,1084.29,340,0.000418,
2026-07-12T17:23:59Z,gpt-4.1-mini-2025-04-14,ok,1884,755,148,903,2362.17,568,0.0005388,
2026-07-12T17:23:59Z,gpt-4.1-mini-2025-04-14,ok,2249,845,87,932,1491.1,316,0.0004772,
